x,y,z,heading_angle,speed,curvature,longitude, latitude,altitude,attribute
247102.1195,3488520.907,13.743333,105.849998,0,0.000147,120.337245,31.503898,13.743333,0
247102.0767,3488521.075,13.74381,105.84857,0,0.000144,120.337244,31.5039,13.74381,0
247102.0349,3488521.239,13.744286,105.846665,0,0.000197,120.337244,31.503901,13.744286,0
247101.9923,3488521.405,13.744762,105.84476,0,0.000193,120.337243,31.503903,13.744762,0
247101.9506,3488521.569,13.745238,105.843332,0,0.000148,120.337243,31.503904,13.745238,0
247101.9081,3488521.735,13.745714,105.842379,0,0.000097,120.337242,31.503906,13.745714,0
247101.8666,3488521.899,13.74619,105.841903,0,0.000049,120.337242,31.503907,13.74619,0
247101.8243,3488522.065,13.746667,105.841427,0,0.000048,120.337241,31.503909,13.746667,0
247101.7828,3488522.228,13.747143,105.840474,0,0.000099,120.337241,31.50391,13.747143,0
247101.7406,3488522.393,13.747619,105.839522,0,0.000097,120.33724,31.503911,13.747619,0
247101.6992,3488522.556,13.748095,105.839522,0,0,120.33724,31.503913,13.748095,0
247101.657,3488522.721,13.748571,105.839998,0,0.000049,120.337239,31.503914,13.748571,0
247101.6156,3488522.883,13.749048,105.841427,0,0.000149,120.337239,31.503916,13.749048,0
247101.5734,3488523.048,13.749524,105.843331,0,0.000195,120.337238,31.503917,13.749524,0
247101.5319,3488523.21,13.75,105.84476,0,0.000149,120.337238,31.503919,13.75,0
247101.4897,3488523.374,13.75,105.846189,0,0.000147,120.337237,31.50392,13.75,0
247101.4482,3488523.536,13.75,105.847617,0,0.00015,120.337237,31.503922,13.75,0
247101.406,3488523.7,13.75,105.849046,0,0.000147,120.337237,31.503923,13.75,0
247101.3646,3488523.861,13.75,105.851427,0,0.00025,120.337236,31.503925,13.75,0
247101.3223,3488524.025,13.75,105.854284,0,0.000295,120.337236,31.503926,13.75,0
247101.2809,3488524.185,13.75,105.857618,0,0.000351,120.337235,31.503928,13.75,0
247101.2387,3488524.349,13.75,105.861428,0,0.000394,120.337235,31.503929,13.75,0
247101.1973,3488524.509,13.75,105.865237,0,0.000401,120.337234,31.50393,13.75,0
247101.1551,3488524.673,13.75,105.869999,0,0.000493,120.337234,31.503932,13.75,0
247101.1137,3488524.833,13.75,105.875714,0,0.000603,120.337233,31.503933,13.75,0
247101.0716,3488524.996,13.75,105.881904,0,0.000642,120.337233,31.503935,13.75,0
247101.0302,3488525.155,13.75,105.888095,0,0.000655,120.337232,31.503936,13.75,0
247100.9881,3488525.318,13.749524,105.895238,0,0.000743,120.337232,31.503938,13.749524,0
247100.9468,3488525.477,13.749048,105.902857,0,0.000808,120.337231,31.503939,13.749048,0
247100.9047,3488525.639,13.748571,105.910952,0,0.000844,120.337231,31.503941,13.748571,0
247100.8627,3488525.801,13.748095,105.92,0,0.000945,120.33723,31.503942,13.748095,0
