x,y,z,heading_angle,speed,curvature,longitude, latitude,altitude,attribute
247111.4006,3488507.377,13.6,106.019997,0,0,120.337346,31.503778,13.6,0
247111.3758,3488507.488,13.586667,106.169998,0,0.022834,120.337346,31.503779,13.586667,0
247111.3423,3488507.606,13.586,106.383998,0,0.030599,120.337345,31.50378,13.586,0
247111.3048,3488507.728,13.587143,106.624285,0,0.032891,120.337345,31.503781,13.587143,0
247111.2652,3488507.851,13.587778,106.873333,0,0.033477,120.337344,31.503783,13.587778,0
247111.2211,3488507.986,13.589091,107.141818,0,0.033036,120.337344,31.503784,13.589091,0
247111.1709,3488508.139,13.590769,107.421538,0,0.030336,120.337343,31.503785,13.590769,0
247111.1226,3488508.284,13.592,107.662666,0,0.027514,120.337343,31.503786,13.592,0
247111.075,3488508.426,13.592941,107.87647,0,0.024947,120.337342,31.503788,13.592941,0
247111.0268,3488508.567,13.594211,108.064737,0,0.022074,120.337342,31.503789,13.594211,0
247110.9777,3488508.708,13.595714,108.228095,0,0.01907,120.337341,31.50379,13.595714,0
247110.9312,3488508.847,13.59619,108.410476,0,0.021739,120.337341,31.503791,13.59619,0
247110.8837,3488508.987,13.597619,108.588571,0,0.021075,120.33734,31.503793,13.597619,0
247110.835,3488509.13,13.599048,108.757619,0,0.019516,120.337339,31.503794,13.599048,0
247110.7857,3488509.273,13.600952,108.916667,0,0.018267,120.337339,31.503795,13.600952,0
247110.7353,3488509.42,13.602381,109.06381,0,0.016557,120.337338,31.503797,13.602381,0
247110.6847,3488509.567,13.60381,109.199048,0,0.015159,120.337338,31.503798,13.60381,0
247110.6332,3488509.717,13.605238,109.319048,0,0.013225,120.337337,31.503799,13.605238,0
247110.5814,3488509.868,13.606667,109.428572,0,0.011952,120.337337,31.503801,13.606667,0
247110.5293,3488510.021,13.608095,109.519524,0,0.009872,120.337336,31.503802,13.608095,0
247110.477,3488510.173,13.609048,109.598572,0,0.008546,120.337335,31.503803,13.609048,0
247110.4253,3488510.325,13.609524,109.657619,0,0.006425,120.337335,31.503805,13.609524,0
247110.375,3488510.472,13.610476,109.699048,0,0.004656,120.337334,31.503806,13.610476,0
247110.3236,3488510.624,13.611429,109.733333,0,0.003739,120.337334,31.503807,13.611429,0
247110.2725,3488510.774,13.612381,109.758571,0,0.002767,120.337333,31.503809,13.612381,0
247110.2198,3488510.93,13.613333,109.777143,0,0.001978,120.337332,31.50381,13.613333,0
247110.1676,3488511.083,13.614286,109.786667,0,0.001023,120.337332,31.503811,13.614286,0
247110.114,3488511.241,13.615714,109.788571,0,0.000199,120.337331,31.503813,13.615714,0
247110.0611,3488511.397,13.617143,109.783333,0,0.000555,120.337331,31.503814,13.617143,0
247110.0074,3488511.557,13.618095,109.774285,0,0.000936,120.33733,31.503816,13.618095,0
247109.9547,3488511.715,13.619048,109.760952,0,0.001399,120.33733,31.503817,13.619048,0
247109.9011,3488511.876,13.62,109.744285,0,0.001712,120.337329,31.503818,13.62,0
247109.8486,3488512.035,13.620476,109.722381,0,0.00229,120.337328,31.50382,13.620476,0
247109.7953,3488512.196,13.620952,109.694762,0,0.002833,120.337328,31.503821,13.620952,0
247109.7433,3488512.355,13.621429,109.663809,0,0.003236,120.337327,31.503823,13.621429,0
247109.6906,3488512.516,13.621429,109.631428,0,0.003324,120.337327,31.503824,13.621429,0
